material_id,material_type,strength,weight_capacity_kg,biodegradability_score,co2_emission_score,recyclability_percent,cost_per_unit_inr,product_category,notes,used_for_products
m001,Recycled Corrugated Cardboard,High,15,9,1.8,92,18,Electronics,Good protective packaging,"Laptops, TVs, home appliances"
m002,Molded Pulp,Medium,8,10,1.2,85,22,Electronics,Cushioning and compostable,"Mobile phones, electronics accessories"
m003,Biodegradable PLA,Medium,3,8,2.9,60,65,Food,Compostable in industrial facilities,"food containers, disposable cutlery"
m004,Glass,High,20,1,5.2,100,120,Cosmetics,Reusable but higher CO2 due to transport,"perfume bottles, cosmetic jars"
m005,Aluminum,High,10,2,4.8,95,95,Pharma,Highly recyclable,"medicine strips, pharmaceutical containers"
m006,Recycled PET,Medium,6,3,3.4,85,45,Cosmetics,Recyclable plastic option,"shampoo bottles, cosmetic packaging"
m007,Kraft Paper,Low,1,9,1.1,80,8,Food,Best for lightweight dry products,"food bags, bakery packaging"
m008,Sugarcane Bagasse,Medium,5,10,1.5,70,28,Food,Great for plates and containers,"plates, takeaway food containers"
m009,Cornstarch Packaging,Low,2,9,2.2,50,32,Food,Biodegradable moisture sensitive,"food trays, disposable packaging"
m010,Bamboo Fiber,Medium,4,9,1.6,65,40,Cosmetics,Sustainable material,"cosmetic containers, personal care products"
m011,Mycelium Foam,Medium,7,10,1,40,85,Electronics,Very eco-friendly cushioning,"electronic cushioning, fragile goods"
m012,Recycled Paper,Low,1.5,9,1.3,88,6,Household,General wrapping material,"wrapping paper, household packaging"
m013,Paperboard,Medium,3,8,1.7,85,15,Cosmetics,Common retail packaging,"retail boxes, cosmetic cartons"
m014,Compostable Film,Low,1,8,2.5,30,55,Food,Flexible eco-friendly packaging,"food wraps, fresh produce packaging"
m015,HDPE,High,8,2,3.8,90,35,Household,Durable but low biodegradability,"detergent bottles, household containers"
m016,LDPE,Medium,5,2,3.6,75,30,Household,Flexible but less eco-friendly,"plastic bags, flexible packaging"
m017,Starch-based Foam,Low,3,9,2.1,55,38,Electronics,Lightweight protective material,protective inserts for electronics
m018,Seaweed Packaging,Low,1,10,0.9,25,75,fFood,Emerging sustainable  packaging,"edible foods wraps, sachets"
m019,Hemp Fiber,Medium,6,9,1.4,60,48,Household,Strong natural fiber material,"household storage, reusable bags"
m020,Wooden Crate,High,25,6,2.7,70,180,Electronics,Reusable transport packaging,"heavy electronics, transport packaging"
